"","area_name","fips","state_abbreviation","PST045214","PST040210","PST120214","POP010210","AGE135214","AGE295214","AGE775214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214","POP715213","POP645213","POP815213","EDU635213","EDU685213","VET605213","LFE305213","HSG010214","HSG445213","HSG096213","HSG495213","HSD410213","HSD310213","INC910213","INC110213","PVY020213","BZA010213","BZA110213","BZA115213","NES010213","SBO001207","SBO315207","SBO115207","SBO215207","SBO515207","SBO415207","SBO015207","MAN450207","WTN220207","RTN130207","RTN131207","AFN120207","BPS030214","LND110210","POP060210","educatedpeople","votes"
"128","Osceola County",19143,"IA",6218,6462,-3.8,6462,6,23.2,20.2,49.4,97.5,0.4,0.4,0.6,0.1,1,6.8,91.3,87,4.5,6.4,86.3,15.6,493,18.9,2968,74.9,5,75600,2676,2.33,24653,48659,8.6,183,1526,3.2,468,566,0,0,0,0,0,0,0,0,40538,6291,0,1,398.68,16.2,536613.4,426
"129","Page County",19145,"IA",15496,15943,-2.8,15932,5.6,20.6,20.8,47.8,94.2,2.4,0.7,1.2,0.1,1.4,2.9,91.7,81.4,2,3.4,89.3,17.4,1590,16.4,7186,73.2,11.4,77700,6415,2.27,23496,43010,13.9,416,5313,0.3,919,1305,0,0,0,0,0,20.2,348217,116438,163001,10243,12573,11,534.94,29.8,1383792.8,1271
"130","Palo Alto County",19147,"IA",9099,9421,-3.4,9421,5.9,22,21.4,50.3,97,0.9,0.4,0.5,0.1,1.1,2.1,95.2,88.8,1.3,2.1,90,16.5,782,16.9,4617,77.2,12,83400,3948,2.28,25055,44663,9.2,278,2802,0.5,733,937,0,0,0,0,0,0,401373,132484,65829,6988,34628,2,563.84,16.7,818910,831
"131","Pershing County",32027,"NV",6698,6753,-0.8,6753,4.6,18.5,13.8,36.7,87.4,4.2,4.4,1.2,0.3,2.5,23.3,66.5,77.6,11.1,19.9,78.9,10.5,725,22.6,2416,66.3,10.8,138100,2091,2.34,18203,52101,18,74,1081,7.6,206,223,0,0,0,0,0,0,0,0,43044,6751,9241,2,6036.56,1.1,528472.2,355
"132","Pickens County",45077,"SC",120368,119226,1,119224,4.9,19.7,15.2,50.2,89.4,6.9,0.3,1.9,0,1.5,3.4,86.4,80.4,4,5.1,82.2,23,8483,23.2,52121,69.3,16.6,123900,43971,2.54,21182,41788,18.9,2003,26257,4.4,7094,8715,4.9,0.8,1.8,0,0.8,27.3,1459950,253217,1153530,9935,142900,434,496.41,240.2,9894249.6,28172
"133","Plymouth County",19149,"IA",24874,24981,-0.4,24986,5.9,25.1,17.6,50.3,97.2,0.5,0.5,0.6,0.1,1,4.1,93.6,89.2,1.8,4.9,92.5,20.9,2025,17.1,10668,79.3,9.4,129800,9867,2.49,27942,58888,6.4,703,9761,0.4,1700,2137,0,0,0,0,0,0,0,243010,299650,12330,21970,37,862.89,29,2300845,2585
"134","Pocahontas County",19151,"IA",7138,7310,-2.4,7310,5.7,22.6,22.3,50.2,96.9,0.9,0.5,0.2,0.2,1.2,3.4,94,88.8,1.8,2.5,92.6,17.8,668,17.7,3771,79.4,7.1,60600,3227,2.19,25556,44073,14.2,222,2021,-1.8,539,764,0,0,0,0,0,0,0,86944,79888,10492,0,4,577.24,12.7,660978.8,783
"135","Polk County",19153,"IA",459862,430635,6.8,430640,7.2,25.2,11.7,50.8,86.5,6.7,0.4,4.2,0.1,2.2,8,79.2,82.2,8.5,12.5,91.8,34.9,26762,19,192980,69.2,23.7,154400,173164,2.48,30442,59018,11.8,11914,243983,2,30761,37950,1.9,0.3,2.1,0.1,1.8,28,7519907,6697167,6714418,16130,825244,3350,573.8,750.5,42215331.6,53865
"136","Pottawattamie County",19155,"IA",93128,93149,0,93158,6.5,23.7,15.7,50.9,95.2,1.6,0.7,0.8,0.1,1.7,7.2,88.7,85.1,3.3,6.2,89.3,19.1,7373,20.8,39589,70.2,18.7,126300,36460,2.49,25847,51304,13.8,1986,30845,-3.1,4975,7088,0,0,0,0,1.2,24.1,0,2256650,1503395,16784,451451,122,950.28,98,8316330.4,7468
"137","Poweshiek County",19157,"IA",18668,18914,-1.3,18914,5.2,20.4,19.2,51.1,94.8,1.4,0.3,1.8,0.1,1.5,3,92.2,83.2,3.1,4.6,92.6,24.1,1296,17,8953,72.9,15,117600,7488,2.28,25318,50349,12.8,549,9458,2.9,1275,1781,0,0,0,0,0,21.4,462194,118099,241342,12932,17021,123,584.93,32.3,1728656.8,1882
